SKU;longDescription;Categorie;sous_categorie;manufacturer;stock_disponible;minimum_order_quantity;prix_stm_HT;prix_public_HT
RS419-HP2000FSR;Ring scanner to cable to arm-worn WT4X90 and WT41N0, with HP engine and freezer rating. RESTRICTED CLASS 2 PRODUCT, ONLY FOR PARTNERCONNECT PARTNERS;Accessoires;;ZEBRA;235;1;724.59;905.73
SG-RS419-TRGAS-01R;RS419 Replacement Trigger Assembly;Terminaux mobiles;Terminaux portables;ZEBRA;222;1;24.3;30.37
RS5000-LCBSWR;scanner à main, 2D, imageur, 4.5 - 63.5cm, déclencheur, 116 scans/s., 0,057kg, indice de protection: IP65, inclus: câble;Accessoires;;ZEBRA;6;1;825.99;1060.74
RS5000-LCFLWR;scanner à main, 2D, imageur, 4.5 - 63.5cm, déclencheur, 116 scans/s., 0,057kg, indice de protection: IP65, inclus: câble;Terminaux mobiles;Terminaux portables;ZEBRA;5;1;810.9;1041.37
RS5000-LCFSWR;scanner à main, 2D, imageur, 4.5 - 63.5cm, déclencheur, 116 scans/s., 0,057kg, indice de protection: IP65, inclus: câble;Terminaux mobiles;Terminaux portables;ZEBRA;0;1;773.17;992.92
SG-NGRS-SFSVS-01R;RS5000 SHORT FINGER VELCRO STRAP  NO LASER WARNING LABEL: QTY. 1 ;Accessoires;;ZEBRA;2211;1;12.15;15.19
SG-NGRS-SFRVPD-05;Replacement velcro pads for wrist mount (pack of 5);Accessoires;;ZEBRA;2;1;9.99;12.82
ADPTRWT-RS507-04R;corded Zebra adapter, fits for: RS507, USed instead of the battery, serial interface to the WT41N0;Accessoires;;ZEBRA;180;1;166.4;213.7
KTBTRYRS50EAB02-01;Battery, extended, 1940mAh, 3.7V, for Zebra RS507;Accessoires;;ZEBRA;0;1;83.19;106.84
KT-BKL-RS507-10R;RS507 buckles, to be used with velcro strap on manual trigger and triggerless configurations  pack of 10 ;Accessoires;;ZEBRA;3;1;22.5;28.12
SAC5070-801CR;Chargeur octuple pour les batteries standard et haute capacité, bloc d'alimentation inclus, veuillez commander le cordon secteur «kabeurosw» séparément, pour Zebra RS507;Accessoires;;ZEBRA;24;1;560.49;719.79
SAC5070-800CR;Battery charging station, 8 slots, incl.: power supply, power cord (US), fits for: RS507;Accessoires;;ZEBRA;0;1;564.88;725.42
KT-PAD-RS507-10R;RS507 replacement comfort pads, to be used with manual trigger and triggerless configurations  pack of 10 ;Accessoires;;ZEBRA;475;1;66.59;83.23
KT-CLMPT-RS507-01R;Trigger swivel assembly, fits for: RS507;Accessoires;;ZEBRA;711;1;96.34;123.71
RS51B0-TBSNWR;RS5100 SINGLE FINGER BLUETOOTH RING SCANNER, SE4770, STANDARD BATTERY, SINGLE TRIGGER, TOP TRIGGER, NO USB, WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;4240;1;825.35;1031.68
RS51B0-LESNWR;Bluetooth scanner, warehouse, 2D, imager (SE4710), trigger, Bluetooth (class 4), protection class: IP65, incl.: battery, extended, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;40;1;788.26;1012.29
RS51B0-LBBHWR;Bluetooth scanner, warehouse, 2D, imager (SE4710), Bluetooth (class 4), protection class: IP65, incl.: battery, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;99;1;867.46;1114.02
RS51B0-TBBHWR;Bluetooth scanner, warehouse, 2D, imager (SE4770), trigger, Bluetooth (class 4), protection class: IP65, incl.: battery, order separately: charging cradle, charging cable, colour: black, silver;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;25;1;901.42;1157.61
RS51B0-TNNMWR;RS5100 SINGLE FINGER BLUETOOTH RING SCANNER, PLATFORM ONLY, SE4770, NO BATTERY, NO MANUAL TRIGGER, TOP TRIGGER, WORLDWIDE:  REQUIRES SEPARATE ORDER OF MANUAL TRIGGER ASSEMBLY AND BATTERY.RESTRICTED ITEM CLASS 4, REQUIRED CORRESPONDING CERTIFICATION.;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;10;1;755.59;944.49
RS51B0-LBLLWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: L), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;880.09;1130.22
RS51B0-LBLMWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: M), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;11;1;880.09;1130.22
RS51B0-LBLSWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (gauche, taille: S), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;880.09;1130.22
RS51B0-LBRLWR;scanner Bluetooth, 2D, imageur (SE4710), Bluetooth (classe 4), indice de protection: IP65, inclus: batterie, gant (droite, taille: L), commandez séparément: station chargeur, câble de chargeur, couleur: noir, argent;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;0;1;880.09;1130.22
RS51B0-LBSNWR;RS5100 SINGLE FINGER BLUETOOTH RING SCANNER, SE4710, STANDARD BATTERY, SINGLE TRIGGER, TOP TRIGGER, NO USB,  WORLDWIDE. RESTRICTED ITEM CLASS 4. REQUIRE CORRESPONDING CERTIFICATION;Lecteurs codes-barres;Lecteurs sans fil;ZEBRA;484;1;790.48;988.09
